date,ticker,value,country,desc
12/31/1982,FDINNOR Index,0.71,Norway,World Bank FDI Net Inflows % GDP
12/31/1975,FDINNOR Index,0.67,Norway,World Bank FDI Net Inflows % GDP
12/31/2016,FDINNOR Index,-4.98,Norway,World Bank FDI Net Inflows % GDP
12/31/1985,FDINNOR Index,-0.65,Norway,World Bank FDI Net Inflows % GDP
12/31/2002,FDINNOR Index,1.54,Norway,World Bank FDI Net Inflows % GDP
12/31/2012,FDINNOR Index,5.42,Norway,World Bank FDI Net Inflows % GDP
12/31/1998,FDINNOR Index,2.82,Norway,World Bank FDI Net Inflows % GDP
12/31/1976,FDINNOR Index,1.03,Norway,World Bank FDI Net Inflows % GDP
12/31/2009,FDINNOR Index,2.24,Norway,World Bank FDI Net Inflows % GDP
12/31/1972,FDINNOR Index,0.7,Norway,World Bank FDI Net Inflows % GDP
12/31/2015,FDINNOR Index,1.71,Norway,World Bank FDI Net Inflows % GDP
12/31/2001,FDINNOR Index,1.83,Norway,World Bank FDI Net Inflows % GDP
12/31/2018,FDINNOR Index,-4.39,Norway,World Bank FDI Net Inflows % GDP
12/31/1979,FDINNOR Index,0.76,Norway,World Bank FDI Net Inflows % GDP
12/31/1997,FDINNOR Index,2.41,Norway,World Bank FDI Net Inflows % GDP
12/31/2014,FDINNOR Index,0.66,Norway,World Bank FDI Net Inflows % GDP
12/31/2007,FDINNOR Index,6.19,Norway,World Bank FDI Net Inflows % GDP
12/31/1992,FDINNOR Index,-0.51,Norway,World Bank FDI Net Inflows % GDP
12/31/1971,FDINNOR Index,0.64,Norway,World Bank FDI Net Inflows % GDP
12/31/1988,FDINNOR Index,0.27,Norway,World Bank FDI Net Inflows % GDP
12/31/2017,FDINNOR Index,1.51,Norway,World Bank FDI Net Inflows % GDP
12/31/2008,FDINNOR Index,4.45,Norway,World Bank FDI Net Inflows % GDP
12/31/2004,FDINNOR Index,1.86,Norway,World Bank FDI Net Inflows % GDP
12/31/1973,FDINNOR Index,0.93,Norway,World Bank FDI Net Inflows % GDP
12/31/2011,FDINNOR Index,2.07,Norway,World Bank FDI Net Inflows % GDP
12/31/1993,FDINNOR Index,0.82,Norway,World Bank FDI Net Inflows % GDP
12/31/1978,FDINNOR Index,1.05,Norway,World Bank FDI Net Inflows % GDP
12/31/2003,FDINNOR Index,1.83,Norway,World Bank FDI Net Inflows % GDP
12/31/1989,FDINNOR Index,1.48,Norway,World Bank FDI Net Inflows % GDP
12/31/1974,FDINNOR Index,1.27,Norway,World Bank FDI Net Inflows % GDP
12/31/1999,FDINNOR Index,4.18,Norway,World Bank FDI Net Inflows % GDP
12/31/2005,WBNGTUR Index,4.3,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2010,WBNGTUR Index,3.5,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2006,WBNGTUR Index,3.6,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2013,WBNGTUR Index,2.6,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2000,WBNGTUR Index,9.2,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2016,WBNGTUR Index,3.1,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2002,WBNGTUR Index,12.7,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2012,WBNGTUR Index,2.7,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/1998,WBNGTUR Index,6.7,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2009,WBNGTUR Index,5,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2015,WBNGTUR Index,3,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2001,WBNGTUR Index,29.3,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2018,WBNGTUR Index,3.7,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/1997,WBNGTUR Index,2.3,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2014,WBNGTUR Index,2.7,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2007,WBNGTUR Index,3.3,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2017,WBNGTUR Index,2.8,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2008,WBNGTUR Index,3.4,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2004,WBNGTUR Index,6.5,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2011,WBNGTUR Index,2.6,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2003,WBNGTUR Index,11.5,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/1999,WBNGTUR Index,10.5,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/1981,BPCGMEX Index,18.5279,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1991,BPCGMEX Index,21.0125,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1994,BPCGMEX Index,30.8857,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2005,BPCGMEX Index,16.0133,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1990,BPCGMEX Index,17.5498,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2010,BPCGMEX Index,23.3288,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2006,BPCGMEX Index,19.1963,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1984,BPCGMEX Index,13.4577,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1970,BPCGMEX Index,32.9302,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1995,BPCGMEX Index,23.2585,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1980,BPCGMEX Index,18.3502,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1977,BPCGMEX Index,17.4905,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1983,BPCGMEX Index,11.981,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2000,BPCGMEX Index,15.04,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1969,BPCGMEX Index,30.4951,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1986,BPCGMEX Index,12.5368,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1996,BPCGMEX Index,15.2011,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1982,BPCGMEX Index,14.4065,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1975,BPCGMEX Index,29.1282,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2016,BPCGMEX Index,34.0002,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2002,BPCGMEX Index,14.8863,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1993,BPCGMEX Index,25.5446,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1998,BPCGMEX Index,18.9863,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1976,BPCGMEX Index,32.2473,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2009,BPCGMEX Index,22.6538,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2013,BPCGMEX Index,29.0175,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1972,BPCGMEX Index,33.6832,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2015,BPCGMEX Index,31.9559,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2001,BPCGMEX Index,12.8777,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2018,BPCGMEX Index,34.5957,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1979,BPCGMEX Index,19.9935,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2012,BPCGMEX Index,26.0481,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1997,BPCGMEX Index,21.2479,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2007,BPCGMEX Index,21.4037,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1992,BPCGMEX Index,28.0719,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1971,BPCGMEX Index,34.1449,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1988,BPCGMEX Index,11.2078,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2017,BPCGMEX Index,35.3216,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2008,BPCGMEX Index,20.6731,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/2004,BPCGMEX Index,14.7766,Mexico,World Bank Domestic Private Sector Credit to GDP
12/31/1973,BPCGMEX Index,31.4993,Mexico,World Bank Domestic Private Sector Credit to GDP
