Ticker,Country,Desc
WRGDSOUT Index,South Africa,World Bank GDP Constant 2010 Prices USD
BPCGZAF Index,South Africa,World Bank Domestic Private Sector Credit to GDP
HELDZADS Index,South Africa,World Bank Total Short Term Debt
HELDZALD Index,South Africa,World Bank Total Long Term Debt
WDBASOUT Index,South Africa,World Bank Banks' Debt USD
WDBTSOUT Index,South Africa,World Bank Gross External Debt Position
FDNOZAF Index,South Africa,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGSOUT Index,South Africa,World Bank Budget Balance % of GDP
WBEGZAF Index,South Africa,World Bank Export Good/Service % of GDP
WBIGZAF Index,South Africa,World Bank Import Good/Service % of GDP
WBPIZAF Index,South Africa,World Bank CPI (2010 Base 100)
EHUPZA Index,South Africa,Unemployment Rate (%)
WBNGCHN Index,China,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLCHHK Index,Hong Kong,World Bank Total Gross External Debt USD
FDINCHN Index,China,World Bank FDI Net Inflows % GDP
WRGDCHIN Index,China,World Bank GDP Constant 2010 Prices USD
BPCGCHIN Index,China,World Bank Domestic Private Sector Credit to GDP
WDBACHHK Index,China,World Bank Banks' Debt USD
WDBTCHHK Index,China,World Bank Gross External Debt Position
FDNOCHN Index,China,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGCHIN Index,China,World Bank Budget Balance % of GDP
WBEGCHN Index,China,World Bank Export Good/Service % of GDP
WBIGCHN Index,China,World Bank Import Good/Service % of GDP
WBPICHN Index,China,World Bank CPI (2010 Base 100)
EHUPCN Index,China,Unemployment Rate (%)
WBNGIDN Index,Indonesia,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLINDO Index,Indonesia,World Bank Total Gross External Debt USD
FDINIDN Index,Indonesia,World Bank FDI Net Inflows % GDP
WRGDINDO Index,Indonesia,World Bank GDP Constant 2010 Prices USD
BPCGIDN Index,Indonesia,World Bank Domestic Private Sector Credit to GDP
HELDIDDS Index,Indonesia,World Bank Total Short Term Debt
HELDIDLD Index,Indonesia,World Bank Total Long Term Debt
WDBAINDO Index,Indonesia,World Bank Banks' Debt USD
WDBTINDO Index,Indonesia,World Bank Gross External Debt Position
FDNOIDN Index,Indonesia,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGINDO Index,Indonesia,World Bank Budget Balance % of GDP
WBEGIDN Index,Indonesia,World Bank Export Good/Service % of GDP
WBIGIDN Index,Indonesia,World Bank Import Good/Service % of GDP
WBPIIDN Index,Indonesia,World Bank CPI (2010 Base 100)
EHUPID Index,Indonesia,Unemployment Rate (%)
WBNGPHL Index,Philippines,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLPHIL Index,Philippines,World Bank Total Gross External Debt USD
FDINPHL Index,Philippines,World Bank FDI Net Inflows % GDP
WRGDPHIL Index,Philippines,World Bank GDP Constant 2010 Prices USD
BPCGPHL Index,Philippines,World Bank Domestic Private Sector Credit to GDP
HELDPHDS Index,Philippines,World Bank Total Short Term Debt
HELDPHLD Index,Philippines,World Bank Total Long Term Debt
FDNOPHL Index,Philippines,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGPHIL Index,Philippines,World Bank Budget Balance % of GDP
WBEGPHL Index,Philippines,World Bank Export Good/Service % of GDP
WBIGPHL Index,Philippines,World Bank Import Good/Service % of GDP
WBPIPHL Index,Philippines,World Bank CPI (2010 Base 100)
EHUPPH Index,Philippines,Unemployment Rate (%)
WBNGIND Index,India,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLINDI Index,India,World Bank Total Gross External Debt USD
FDININD Index,India,World Bank FDI Net Inflows % GDP
WRGDINDI Index,India,World Bank GDP Constant 2010 Prices USD
BPCGIND Index,India,World Bank Domestic Private Sector Credit to GDP
HELDINDS Index,India,World Bank Total Short Term Debt
HELDINLD Index,India,World Bank Total Long Term Debt
WDBAINDI Index,India,World Bank Banks' Debt USD
WDBTINDI Index,India,World Bank Gross External Debt Position
FDNOIND Index,India,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGINDI Index,India,World Bank Budget Balance % of GDP
WBEGIND Index,India,World Bank Export Good/Service % of GDP
WBIGIND Index,India,World Bank Import Good/Service % of GDP
WBPIIND Index,India,World Bank CPI (2010 Base 100)
EHUPIN Index,India,Unemployment Rate (%)
WBNGPOL Index,Poland,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLPOLA Index,Poland,World Bank Total Gross External Debt USD
FDINPOL Index,Poland,World Bank FDI Net Inflows % GDP
WRGDPOLA Index,Poland,World Bank GDP Constant 2010 Prices USD
BPCGPOL Index,Poland,World Bank Domestic Private Sector Credit to GDP
HELDPLDS Index,Poland,World Bank Total Short Term Debt
HELDPLLD Index,Poland,World Bank Total Long Term Debt
WDBAPOLA Index,Poland,World Bank Banks' Debt USD
WDBTPOLA Index,Poland,World Bank Gross External Debt Position
FDNOPOL Index,Poland,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGPOLA Index,Poland,World Bank Budget Balance % of GDP
WBEGPOL Index,Poland,World Bank Export Good/Service % of GDP
WBIGPOL Index,Poland,World Bank Import Good/Service % of GDP
WBPIPOL Index,Poland,World Bank CPI (2010 Base 100)
EHUPPL Index,Poland,Unemployment Rate (%)
WBNGRUS Index,Russia,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLRUSS Index,Russia,World Bank Total Gross External Debt USD
FDINRUS Index,Russia,World Bank FDI Net Inflows % GDP
WRGDRUSS Index,Russia,World Bank GDP Constant 2010 Prices USD
BPCGRUS Index,Russia,World Bank Domestic Private Sector Credit to GDP
HELDRUDS Index,Russia,World Bank Total Short Term Debt
HELDRULD Index,Russia,World Bank Total Long Term Debt
WDBARUSS Index,Russia,World Bank Banks' Debt USD
WDBTRUSS Index,Russia,World Bank Gross External Debt Position
